image_path,target
./image_data/preprocessing_images\B\B573.jpg,1.0
./image_data/preprocessing_images\F\F76.jpg,5.0
./image_data/preprocessing_images\M\M922.jpg,12.0
./image_data/preprocessing_images\N\N909.jpg,13.0
./image_data/preprocessing_images\N\N262.jpg,13.0
./image_data/preprocessing_images\L\L0.jpg,11.0
./image_data/preprocessing_images\J\J714.jpg,9.0
./image_data/preprocessing_images\V\V32.jpg,21.0
./image_data/preprocessing_images\W\W423.jpg,22.0
./image_data/preprocessing_images\Q\Q278.jpg,16.0
./image_data/preprocessing_images\U\U901.jpg,20.0
./image_data/preprocessing_images\R\R63.jpg,17.0
./image_data/preprocessing_images\Q\Q776.jpg,16.0
./image_data/preprocessing_images\T\T970.jpg,19.0
./image_data/preprocessing_images\P\P230.jpg,15.0
./image_data/preprocessing_images\W\W169.jpg,22.0
./image_data/preprocessing_images\O\O52.jpg,14.0
./image_data/preprocessing_images\C\C380.jpg,2.0
./image_data/preprocessing_images\M\M256.jpg,12.0
./image_data/preprocessing_images\J\J288.jpg,9.0
./image_data/preprocessing_images\P\P898.jpg,15.0
./image_data/preprocessing_images\del\del655.jpg,26.0
./image_data/preprocessing_images\H\H576.jpg,7.0
./image_data/preprocessing_images\H\H285.jpg,7.0
./image_data/preprocessing_images\V\V238.jpg,21.0
./image_data/preprocessing_images\O\O744.jpg,14.0
./image_data/preprocessing_images\U\U792.jpg,20.0
./image_data/preprocessing_images\M\M840.jpg,12.0
./image_data/preprocessing_images\K\K474.jpg,10.0
./image_data/preprocessing_images\space\space142.jpg,28.0
./image_data/preprocessing_images\K\K698.jpg,10.0
./image_data/preprocessing_images\T\T973.jpg,19.0
./image_data/preprocessing_images\P\P313.jpg,15.0
./image_data/preprocessing_images\D\D236.jpg,3.0
./image_data/preprocessing_images\T\T495.jpg,19.0
./image_data/preprocessing_images\Q\Q180.jpg,16.0
./image_data/preprocessing_images\space\space947.jpg,28.0
./image_data/preprocessing_images\B\B464.jpg,1.0
./image_data/preprocessing_images\J\J357.jpg,9.0
./image_data/preprocessing_images\O\O21.jpg,14.0
./image_data/preprocessing_images\I\I320.jpg,8.0
./image_data/preprocessing_images\B\B483.jpg,1.0
./image_data/preprocessing_images\space\space530.jpg,28.0
./image_data/preprocessing_images\L\L848.jpg,11.0
./image_data/preprocessing_images\I\I496.jpg,8.0
./image_data/preprocessing_images\U\U229.jpg,20.0
./image_data/preprocessing_images\P\P134.jpg,15.0
./image_data/preprocessing_images\space\space185.jpg,28.0
./image_data/preprocessing_images\X\X575.jpg,23.0
./image_data/preprocessing_images\I\I236.jpg,8.0
./image_data/preprocessing_images\Z\Z491.jpg,25.0
./image_data/preprocessing_images\H\H621.jpg,7.0
./image_data/preprocessing_images\E\E452.jpg,4.0
./image_data/preprocessing_images\Z\Z845.jpg,25.0
./image_data/preprocessing_images\T\T133.jpg,19.0
./image_data/preprocessing_images\Q\Q826.jpg,16.0
./image_data/preprocessing_images\B\B350.jpg,1.0
./image_data/preprocessing_images\H\H547.jpg,7.0
./image_data/preprocessing_images\I\I835.jpg,8.0
./image_data/preprocessing_images\Y\Y508.jpg,24.0
./image_data/preprocessing_images\H\H158.jpg,7.0
./image_data/preprocessing_images\N\N158.jpg,13.0
./image_data/preprocessing_images\V\V730.jpg,21.0
./image_data/preprocessing_images\space\space994.jpg,28.0
./image_data/preprocessing_images\P\P280.jpg,15.0
./image_data/preprocessing_images\N\N850.jpg,13.0
./image_data/preprocessing_images\G\G984.jpg,6.0
./image_data/preprocessing_images\K\K391.jpg,10.0
./image_data/preprocessing_images\O\O671.jpg,14.0
./image_data/preprocessing_images\G\G412.jpg,6.0
./image_data/preprocessing_images\nothing\nothing295.jpg,27.0
./image_data/preprocessing_images\S\S982.jpg,18.0
./image_data/preprocessing_images\H\H310.jpg,7.0
./image_data/preprocessing_images\P\P448.jpg,15.0
./image_data/preprocessing_images\F\F25.jpg,5.0
./image_data/preprocessing_images\X\X886.jpg,23.0
./image_data/preprocessing_images\del\del999.jpg,26.0
./image_data/preprocessing_images\F\F185.jpg,5.0
./image_data/preprocessing_images\D\D805.jpg,3.0
